NOTES: I need the things marked with an X,,,
name,Cart,Box,Instructions
Excitebike,,,
Exodus Journey to the Promised Land,,x,x
F-117A Stealth Fighter,,x,x
F-15 City War,,x,x
F-15 Strike Eagle,x,x,x
Family Feud,,,
Family Fun Fitness Stadium Events,x,x,x
Fantastic Adventures of Dizzy,x,x,x
Fantastic Adventures of Dizzy [Aladdin],,,
Fantasy Zone,x,x,x
Faria,x,x,x
Faxanadu,,x,
Felix the Cat,,x,x
Ferrari Grand Prix Challenge,,x,x
Fester's Quest,,x,
Final Fantasy,,x,x
Fire 'N Ice,x,x,x
Firehawk,,x,x
Fisher Price I Can Remember,x,x,x
Fisher Price Perfect Fit,,x,x
Fisher-Price Firehouse Rescue,x,x,x
Fist of the North Star,x,x,x
Flight of the Intruder,x,x,x
Flintstones Surprise at Dinosaur Peak,,x,x
Flintstones The Rescue of Dino and Hoppy,,x,x
Flying Dragon,,x,x
Flying Warriors,,x,
Formula One Built To Win,x,x,x
Frankenstein the Monster Returns,,x,x
Freedom Force,,x,x
Friday the 13th,,x,
Fun House,,,x
G.I. Joe: A Real American Hero,x,x,x
GI Joe The Atlantis Factor,x,x,x
Galactic Crusader,,x,x
Galaga: Demons of Death,,,
Galaxy 5000,x,x,x
Game Genie,,,
Gargoyle's Quest II The Demon Darkness,,,
Gauntlet,,,
Gauntlet II,,,
Gemfire,x,x,x
Genghis Khan,x,x,x
George Foreman's KO Boxing,,x,x
Ghost Lion,,x,x
Ghostbusters,,x,x
Ghostbusters II,,x,x
Ghosts 'n Goblins,,x,x
Ghoul School,x,x,x
Gilligan's Island,x,x,x
Goal,,x,x
Goal 2,x,x,x
Godzilla,,x,x
Godzilla 2,x,x,x
Gold Medal Challenge '92,,,
Golf,,,
Golf Grand Slam,x,x,x
Golgo 13 Top Secret Episode,,,
Gotcha,,x,
Gradius,,x,x
Great Waldo Search,x,x,x
Greg Norman's Golf Power,x,x,x
Gremlins 2,,,
Guerrilla War,,x,x
Gumshoe,,,
Gun-Nac,,x,x
Gun.Smoke,,,
Gyromite,,,
Gyruss,,x,
Harlem Globetrotters,,,
Hatris,x,x,x
Heavy Barrel,,,
Heavy Shreddin',,x,x
High Speed,,,
Hogan's Alley,,,
Hollywood Squares,,x,x
Home Alone,,x,
Home Alone 2 Lost In New York,,x,x
Hook,,x,
Hoops,,,
Hot Slots,x,x,x
Hudson Hawk,,x,x
Hunt for Red October,,x,x
Hydlide,,x,
Ice Climber,,x,x
Ice Hockey,,,
Ikari Warriors,,x,x
Ikari Warriors II,,x,x
Ikari Warriors III: The Rescue,,x,x
Image Fight,,,x
Immortal,,x,x
Impossible Mission II AVE,x,x,x
Impossible Mission II SEI,x,x,x
Incredible Crash Dummies,x,x,x
Indiana Jones and the Last Crusade,,x,x
Indiana Jones and the Last Crusade [Ubisoft],x,x,x
Indiana Jones and the Temple of Doom,,x,x
Indiana Jones and the Temple of Doom [Tengen],x,x,x
Infiltrator,,x,x
Iron Sword Wizards and Warriors II,,x,x
Iron Tank,,x,x
Isolated Warrior,x,x,x
Jack Nicklaus Golf,,x,x
