Name,Platform,Format,Region,Now Playing,Ownership Status,Progress Status,Est. Value,Amt. Paid,Tags,Box/Case,Cart/Disc,Manual,Extras
Magic Johnson's Fast Break,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.67,,,,,,
MagMax,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.50,,,,,,
Major League Baseball (1988),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.72,,,,,,
Maniac Mansion,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$17.15,,,,,,
Mappy-Land,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.81,,,,,,
Marble Madness,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.55,,,,,,
Mario Bros. (NES),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$16.00,,,,,,
Mario Is Missing!,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$15.87,,,,,,
Mechanized Attack,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$15.29,,,,,,
Mega Man (1987),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$52.50,,,,,,
Mega Man 2,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$21.18,,,,,,
Mega Man 3,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$17.51,,,,,,
Mega Man 4,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$28.00,,,,,,
Mendel Palace,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.18,,,,,,
Mermaids of Atlantis,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$36.11,,,,,,
Metal Fighter,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$19.00,,,,,,
Metal Gear,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.54,,,,,,
Metal Mech: Man & Machine,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.91,,,,,,
Metal Storm,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$87.26,,,,,,
Metroid,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$16.06,,,,,,
Mickey Mousecapade,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.04,,,,,,
MiG-29: Soviet Fighter,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.70,,,,,,
Mighty Bomb Jack,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.99,,,,,,
Mighty Final Fight,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$164.14,,,,,,
Mike Tyson's Punch-Out!!,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$23.37,,,,,,
Millipede (1987),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Milon's Secret Castle,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.78,,,,,,
Miracle Piano Teaching System,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$16.49,,,,,,
Mission: Impossible (1990),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.71,,,,,,
Monopoly (NES),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.00,,,,,,
Monster Party,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$14.99,,,,,,
Narc (1988),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.29,,,,,,
NES Open Tournament Golf,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.98,,,,,,
NFL,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.59,,,,,,
Nightshade (2004),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Ninja Crusaders,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$25.58,,,,,,
Ninja Gaiden (1988),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.00,,,,,,
Ninja Gaiden II,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Ninja Gaiden II: The Dark Sword of Chaos,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.97,,,,,,
Ninja Kid,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.00,,,,,,
Nintendo World Cup,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.12,,,,,,
Nobunaga's Ambition,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Operation Wolf,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.79,,,,,,
Orb-3D,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.70,,,,,,
Othello (1988),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.28,,,,,,
P'Radikus Conflict,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$52.92,,,,,,
P.O.W.: Prisoners of War,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.06,,,,,,
Palamedes,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$14.55,,,,,,
Paperboy (1984),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$13.94,,,,,,
Paperboy 2,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$14.79,,,,,,
Pictionary (1990),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.21,,,,,,
Pin-Bot,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.23,,,,,,
Pinball (1985),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.36,,,,,,
Pipe Dream,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.10,,,,,,
Platoon,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.27,,,,,,
Play Action Football,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Popeye,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$14.11,,,,,,
Pro Wrestling (1987),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.93,,,,,,
Punch-Out!! (1987),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.75,,,,,,
Puzzle,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.76,,,,,,
Puzznic (1990),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.17,,,,,,
Pyramid,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.49,,,,,,
Q*Bert (1982),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.00,,,,,,
Quattro Adventure,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.57,,,,,,
Quattro Arcade,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$15.07,,,,,,
Quattro Sports,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.31,,,,,,
R.B.I. Baseball,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.92,,,,,,
R.B.I. Baseball 2,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.64,,,,,,
R.B.I. Baseball 3,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.88,,,,,,
R.C. Pro-Am,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.24,,,,,,
Racket Attack,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.70,,,,,,
Rad Racer,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.03,,,,,,
Rad Racer II,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.40,,,,,,
Raid 2020,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$16.41,,,,,,
Raid on Bungeling Bay,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.89,,,,,,
Rambo,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.49,,,,,,
Rampage,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$13.91,,,,,,
Rampart,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.05,,,,,,
Remote Control,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.20,,,,,,
Renegade,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.99,,,,,,
Rescue: The Embassy Mission,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.98,,,,,,
Ring King,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.99,,,,,,
Road Runner,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.11,,,,,,
RoadBlasters,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.99,,,,,,
Robin Hood: Prince of Thieves,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.98,,,,,,
RoboCop,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.23,,,,,,
RoboCop 3,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Robodemons,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$31.50,,,,,,
RoboWarrior,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.77,,,,,,
Rocket Ranger,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.99,,,,,,
Roger Clemens' MVP Baseball,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.62,,,,,,
Rollerball,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.36,,,,,,
Rollergames,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.48,,,,,,
Rolling Thunder,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.87,,,,,,
Romance of the Three Kingdoms,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Rush'n Attack,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.03,,,,,,
Rygar (1987),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.15,,,,,,
Section Z,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.00,,,,,,
Sesame Street: 123,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.22,,,,,,
Sesame Street: ABC,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.52,,,,,,
Sesame Street: Countdown,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.84,,,,,,
Shadowgate (1987),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.32,,,,,,
Shatterhand,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$46.05,,,,,,
Shingen the Ruler,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.05,,,,,,
Shinobi (1987),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.02,,,,,,
ShockWave,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$16.27,,,,,,
Shooting Range,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.15,,,,,,
Short Order / Eggsplode!,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.95,,,,,,
Side Pocket (1987),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.85,,,,,,
Silent Service,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.06,,,,,,
Silk Worm,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$16.44,,,,,,
Silver Surfer,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$18.00,,,,,,
Skate or Die,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.44,,,,,,
Skate or Die 2: The Search for Double Trouble,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.99,,,,,,
Ski or Die,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.73,,,,,,
Skull & Crossbones,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.10,,,,,,
Sky Kid,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.73,,,,,,
Sky Shark,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.96,,,,,,
Slalom,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.00,,,,,,
Smash TV,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.99,,,,,,
Snake's Revenge,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.83,,,,,,
Snoopy's Silly Sports Spectacular!,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.00,,,,,,
Solar Jetman: Hunt for the Golden Warpship,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.37,,,,,,
Solomon's Key,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.43,,,,,,
Solstice,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Space Shuttle,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Spelunker,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.99,,,,,,
Spider-Man: Return of the Sinister Six,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.99,,,,,,
Spiker: Super Pro Volleyball,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Spiritual Warfare,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$14.97,,,,,,
Spy Hunter (1983),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.40,,,,,,
Spy vs. Spy (1984),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.05,,,,,,
Stack-Up,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$71.02,,,,,,
Star Force,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.57,,,,,,
Star Soldier,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.99,,,,,,
Star Trek: 25th Anniversary,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Star Trek: 25th Anniversary (NES),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.35,,,,,,
Star Trek: The Next Generation,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Star Voyager (1987),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.97,,,,,,
Star Wars: The Empire Strikes Back (1992),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$28.62,,,,,,
Starship Hector,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.90,,,,,,
StarTropics,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.49,,,,,,
Stealth ATF,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.87,,,,,,
Stinger,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.32,,,,,,
Street Fighter 2010: The Final Fight,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.97,,,,,,
Strider (NES),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.29,,,,,,
Super C,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$15.50,,,,,,
Super Dodge Ball,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$15.33,,,,,,
Super Glove Ball,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.12,,,,,,
Super Mario Bros.,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$14.47,,,,,,
Super Mario Bros.,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Super Mario Bros. / Duck Hunt,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.83,,,,,,
Super Mario Bros. / Duck Hunt / World Class Track Meet,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.29,,,,,,
Super Mario Bros. 2,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$13.66,,,,,,
Super Mario Bros. 3,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$14.00,,,,,,
Super Off Road (SNES),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Super Pitfall,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.16,,,,,,
Super Sprint,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.53,,,,,,
Super Team Games,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.99,,,,,,
Swamp Thing,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$98.34,,,,,,
Swords and Serpents,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.96,,,,,,
Taboo: The Sixth Sense,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.52,,,,,,
TaleSpin,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$15.06,,,,,,
Target: Renegade,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.12,,,,,,
Tecmo Bowl (1989),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.75,,,,,,
Tecmo Super Bowl (1991),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$19.58,,,,,,
Tecmo World Wrestling,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.06,,,,,,
Teenage Mutant Ninja Turtles (1989 NES),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.62,,,,,,
Teenage Mutant Ninja Turtles II: The Arcade Game,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.53,,,,,,
Teenage Mutant Ninja Turtles III: The Manhattan Project,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$24.97,,,,,,
Tennis (1985),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.95,,,,,,
Terminator 2: Judgment Day (1993),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Tetris,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.50,,,,,,
Tetris (Tengen),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$66.38,,,,,,
Tetris 2,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.15,,,,,,
The Addams Family,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.98,,,,,,
The Adventures of Bayou Billy,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.99,,,,,,
The Adventures of Rad Gravity,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$15.96,,,,,,
The Bard's Tale (1985),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$16.10,,,,,,
The Black Bass,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.12,,,,,,
The Blue Marlin,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.47,,,,,,
The Bugs Bunny Birthday Blowout,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.98,,,,,,
The Bugs Bunny Crazy Castle,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.83,,,,,,
The Chessmaster (1990),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.85,,,,,,
The Flintstones: The Rescue of Dino & Hoppy,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$15.52,,,,,,
The Flintstones: The Surprise at Dinosaur Peak,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$613.88,,,,,,
The Goonies II,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.49,,,,,,
The Guardian Legend,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$14.01,,,,,,
The Hunt for Red October,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.45,,,,,,
The Immortal (1990),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.14,,,,,,
The Jungle Book,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$28.12,,,,,,
The Karate Kid,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.98,,,,,,
The Last Ninja,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
The Legend of Zelda,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$22.12,,,,,,
The Little Mermaid,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.62,,,,,,
The Mafat Conspiracy,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.88,,,,,,
The Magic of Scheherazade,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$11.99,,,,,,
The Punisher (1990),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$15.50,,,,,,
The Ren & Stimpy Show: Buckeroo$!,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$17.14,,,,,,
The Rocketeer (Bandai),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.12,,,,,,
The Simpsons: Bart vs. the Space Mutants,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.96,,,,,,
The Simpsons: Bart vs. the World,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.95,,,,,,
The Simpsons: Bartman Meets Radioactive Man,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$13.96,,,,,,
The Terminator,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
The Three Stooges (1987),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.05,,,,,,
The Ultimate Stuntman,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.35,,,,,,
The Uncanny X-Men,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.58,,,,,,
Thunder & Lightning,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.23,,,,,,
Thunderbirds (1989),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.46,,,,,,
Thundercade,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.46,,,,,,
Tiger-Heli,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.99,,,,,,
Tiles of Fate,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.54,,,,,,
Time Lord,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.49,,,,,,
To the Earth,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.84,,,,,,
Tom & Jerry: The Ultimate Game of Cat and Mouse!,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Toobin',Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$14.99,,,,,,
Top Gun (Konami),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.02,,,,,,
Top Gun: The Second Mission,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.01,,,,,,
Top Players Tennis,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.25,,,,,,
Total Recall,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.37,,,,,,
Totally Rad,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$17.95,,,,,,
Touchdown Fever,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.46,,,,,,
Town & Country Surf Designs: Wood & Water Rage,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.10,,,,,,
Toxic Crusaders (Bandai),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Track & Field,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.76,,,,,,
Track & Field II,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.91,,,,,,
Treasure Master,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$19.99,,,,,,
Trog!,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.70,,,,,,
Trojan,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.20,,,,,,
Twin Cobra,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.15,,,,,,
Twin Eagle,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.40,,,,,,
Ultima: Exodus,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.79,,,,,,
Ultima: Quest of the Avatar,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$14.75,,,,,,
Ultimate Basketball,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.56,,,,,,
Urban Champion,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.41,,,,,,
Vegas Dream,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$4.81,,,,,,
Vice: Project Doom,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$29.74,,,,,,
Vindicators,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.52,,,,,,
Volleyball,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.25,,,,,,
Wacky Races (1991),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$172.72,,,,,,
Wall Street Kid,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.11,,,,,,
WCW: World Championship Wrestling,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.72,,,,,,
Werewolf: The Last Warrior,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$12.55,,,,,,
Wheel of Fortune (1988),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.68,,,,,,
Wheel of Fortune: Junior Edition,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.48,,,,,,
Where in the World is Carmen Sandiego?,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,,,,,,,
Where in Time is Carmen Sandiego?,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.21,,,,,,
Where's Waldo?,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.78,,,,,,
Who Framed Roger Rabbit (1989),Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$8.93,,,,,,
Widget,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$37.33,,,,,,
Wild Gunman,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$17.45,,,,,,
Willow,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$10.41,,,,,,
"Win, Lose or Draw",Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$2.70,,,,,,
Winter Games,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.47,,,,,,
Wizardry: Knight of Diamonds - The Second Scenario,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$22.57,,,,,,
Wizardry: Proving Grounds of the Mad Overlord,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$9.04,,,,,,
Wizards & Warriors,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.36,,,,,,
Wizards & Warriors III: Kuros: Visions of Power,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$16.49,,,,,,
World Games,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.63,,,,,,
Wrath of the Black Manta,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$3.82,,,,,,
Wrecking Crew,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$14.86,,,,,,
Wurm: Journey to the Center of the Earth,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$21.43,,,,,,
WWF WrestleMania,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.30,,,,,,
WWF WrestleMania Challenge,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$5.11,,,,,,
WWF WrestleMania: Steel Cage Challenge,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$7.47,,,,,,
WWF: King of the Ring,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$17.83,,,,,,
Xenophobe,Nintendo Entertainment System,Physical,NA,No,Owned,Incomplete,$6.27,,,,,,
