Title,Loose Price,CIB Price,New Price,
Wacky Races,$171.02,$355.00,$710.00
Power Glove,$50.74,$70.32,$306.55
Fire 'N Ice,$116.89,$221.42,$509.49
Punch-Out,$10.87,$25.39,$81.25
Sword Master,$177.82,$250.20,$500.00
Astyanax,$5.88,$18.49,$57.30
Zapper Light Gun,$9.17,$22.01,$70.43
Demon Sword,$6.09,$23.99,$55.21
Bomberman II,$122.81,$288.57,$305.00
Nintendo NES Classic Edition Controller,$29.54,$79.76,$109.99
Little Nemo The Dream Master,$10.82,$32.63,$164.27
Mega Man 9 Press Kit,$275.64,$285.44,$317.51
Rad Racer,$6.87,$24.19,$199.99
Iron Sword Wizards and Warriors II,$5.48,$14.51,$41.69
Adventure Island 3,$50.00,$91.32,$349.99
Dragon Warrior II,$31.85,$77.44,$671.00
Princess Tomato in the Salad Kingdom,$91.00,$208.63,$460.00
Whomp 'Em,$38.50,$89.99,$249.50
Blaster Master,$7.95,$38.38,$153.25
Fester's Quest,$5.56,$15.32,$61.53
Nintendo NES Controller,$12.98,$35.02,$175.00
Adventures of Bayou Billy,$4.48,$16.71,$71.94
Tecmo Bowl,$8.32,$18.38,$109.60
Gun-Nac,$203.83,$324.95,$588.66
SCAT Special Cybernetic Attack Team,$117.61,$199.99,$472.77
Yoshi,$7.93,$17.03,$55.99
The Simpsons Bart vs the Space Mutants,$8.00,$25.37,$99.54
Golgo 13 Top Secret Episode,$4.86,$19.39,$54.29
Adventures of Dino Riki,$6.88,$18.52,$71.00
Double Dragon III,$16.50,$46.80,$200.00
Flintstones The Rescue of Dino and Hoppy,$16.05,$38.23,$222.50
Clash at Demonhead,$13.32,$46.47,$114.10
Street Fighter 2010 the Final Fight,$10.00,$39.69,$123.85
Legend of Zelda [5 Screw],$24.99,$104.25,$241.75
Bionic Commando,$12.01,$33.85,$175.00
RC Pro-AM,$6.00,$21.50,$191.50
Rad Racer II,$5.92,$16.08,$84.72
Hogan's Alley,$5.81,$21.50,$167.51
Duck Hunt,$6.04,$29.99,$348.74
Maniac Mansion,$15.72,$59.20,$174.80
Kick Master,$85.31,$149.98,$297.36
Sky Shark,$5.06,$16.50,$41.09
The Guardian Legend,$14.67,$44.76,$123.22
Crystalis,$14.51,$39.47,$161.35
Bad Dudes,$6.97,$22.52,$78.55
Yo Noid,$12.01,$36.82,$159.89
Blades of Steel,$6.01,$18.52,$120.29
Burgertime,$12.00,$37.50,$841.25
Ghost Lion,$57.50,$117.21,$158.68
Caveman Games,$9.82,$21.74,$150.00
The Goonies II,$8.74,$23.63,$154.38
Legendary Wings,$9.77,$24.99,$81.06
1943: The Battle of Midway,$13.42,$34.99,$159.99
Gyromite,$4.99,$29.89,$46.50
Batman: Return of the Joker,$40.99,$92.64,$227.82
Donkey Kong Jr Math,$69.91,$1012.59,$1867.50
Life Force,$12.71,$41.58,$180.52
Monster in My Pocket,$38.55,$115.50,$349.50
Vice Project Doom,$32.16,$79.99,$149.00
Golf,$3.96,$12.75,$88.75
Snake Rattle n Roll,$8.12,$19.99,$125.61
Treasure Master,$15.48,$33.77,$132.49
Tiger-Heli,$4.96,$16.37,$66.28
Power Blade,$45.49,$89.99,$203.49
8 Eyes,$8.33,$23.98,$78.57
WWF Wrestlemania,$5.03,$22.71,$74.73
Adventure Island II,$17.76,$41.14,$169.99
Captain Skyhawk,$4.00,$11.75,$35.75
Skate or Die,$5.39,$14.86,$60.00
A Boy and His Blob Trouble on Blobolonia,$9.26,$25.00,$93.07
Robocop,$5.99,$18.01,$100.00
Journey to Silius,$24.99,$58.50,$162.50
Xexyz,$11.97,$34.75,$95.54
North and South,$33.70,$71.98,$223.90
Pac-Man [Tengen],$10.25,$21.19,$69.01
Adventures of Lolo,$11.62,$24.90,$134.78
Dash Galaxy in the Alien Asylum,$5.12,$15.43,$38.00
King's Knight,$6.32,$31.36,$98.12
Kings of the Beach,$4.08,$9.99,$25.00
Star Tropics II: Zoda's Revenge,$11.17,$28.68,$52.51
Wizards and Warriors,$7.86,$22.25,$122.50
Jackie Chan's Action Kung Fu,$66.17,$126.77,$300.00
Swamp Thing,$99.06,$212.00,$642.50
Gun.Smoke,$15.92,$42.60,$184.63
Yoshi's Cookie,$7.80,$15.75,$50.53
Donkey Kong 3,$16.87,$70.41,$211.46
Bases Loaded 2 Second Season,$2.85,$10.19,$38.33
Castlequest,$7.73,$24.47,$73.00
Guerrilla War,$9.99,$29.49,$94.30
Rockin' Kats,$88.24,$192.62,$579.95
Bomberman,$21.74,$42.50,$128.89
Tiny Toon Adventures,$11.26,$25.18,$145.42
Rampage,$14.90,$33.99,$98.12
Peek-a-Boo Poker,$753.92,$1639.36,
Cyberstadium Series Base Wars,$8.67,$21.24,$52.36
Batman Returns,$17.31,$43.60,$141.06
Rygar,$10.00,$37.53,$909.27
Little Mermaid,$11.33,$26.22,$88.14
Double Dribble,$5.47,$14.00,$64.75
Gauntlet II,$7.90,$18.29,$50.50
Wayne's World,$93.70,$255.42,$677.90
Kung Fu Heroes,$6.73,$18.14,$49.76
Krion Conquest,$64.97,$109.72,$424.99
Shadowgate,$8.51,$23.24,$99.84
RBI Baseball,$10.11,$16.48,$57.42
Shadow of the Ninja,$39.60,$122.50,$336.15
Snake's Revenge,$10.63,$36.00,$176.25
Power Pad,$15.75,$49.99,$160.04
1942,$11.40,$37.25,$558.66
Conquest of the Crystal Palace,$20.00,$53.48,$124.99
Tetris 2,$6.51,$15.25,$29.54
Star Wars,$19.99,$49.99,$199.22
Willow,$9.96,$31.50,$114.96
Wall Street Kid,$8.55,$22.87,$61.07
Jackal,$10.48,$25.77,$99.99
Marble Madness,$6.14,$15.00,$70.50
Back to the Future II and III,$10.61,$44.00,$107.94
Destination Earthstar,$4.99,$11.79,$29.60
Dynowarz The Destruction of Spondylus,$5.99,$20.00,$61.00
Caltron 6-in-1,$211.05,$325.00,$349.28
Kabuki Quantum Fighter,$15.50,$31.97,$68.00
Town & Country Surf Designs: Wood and Water Rage,$5.63,$19.99,$60.11
Menace Beach,$198.42,$325.44,$749.99
Chubby Cherub,$68.91,$560.96,$1033.45
Track and Field II,$4.91,$12.80,$46.25
Ice Hockey,$5.03,$15.00,$51.06
Destiny of an Emperor,$24.44,$59.99,$255.00
Zen Intergalactic Ninja,$68.00,$142.89,$430.39
Heavy Barrel,$12.37,$31.81,$101.07
Gradius,$10.98,$37.86,$199.99
Code Name Viper,$7.96,$23.47,$91.31
Pinball,$5.60,$15.78,$162.42
Play Action Football,$3.94,$7.56,$22.07
Micro Machines,$25.00,$41.99,$74.99
Time Lord,$5.44,$12.79,$54.99
Super Dodge Ball,$14.78,$43.00,$133.80
Back to the Future,$7.86,$24.99,$98.89
Mega Man 10,$12.02,$32.45,$168.88
Legend of Zelda [Gray Cart],$20.99,$56.67,$178.37
Deadly Towers,$5.40,$15.95,$73.81
Spy Hunter,$5.95,$19.79,$102.50
Stack Up,$70.66,$407.65,$943.91
Wrath of the Black Manta,$5.38,$14.98,$42.57
Adventures of Lolo 3,$45.00,$89.99,$199.95
Super Team Games,$5.00,$12.95,$29.47
Galaga: Demons of Death,$12.44,$25.85,$83.16
Trog,$12.25,$25.75,$100.08
Q*bert,$10.38,$22.19,$150.00
Commando,$7.57,$24.95,$159.35
Indiana Jones and the Temple of Doom,$8.51,$28.47,$234.73
Wrecking Crew,$18.44,$63.23,$400.08
Magmax,$5.37,$14.95,$40.91
Solstice,$5.93,$19.70,$60.70
Ultima Exodus,$8.98,$21.99,$146.00
Mario Is Missing,$15.15,$35.90,$209.02
Rocket Ranger,$4.79,$12.91,$40.00
Big Nose Freaks Out,$85.00,$99.94,$181.24
Pro Wrestling,$6.98,$21.39,$299.95
Super Off Road,$8.00,$21.60,$66.40
Adventures in the Magic Kingdom,$6.68,$20.00,$110.96
Mario's Time Machine,$46.16,$117.21,$383.12
Operation Wolf,$4.96,$15.33,$64.59
The Simpsons Bart vs the World,$7.95,$21.47,$98.73
Tetris [Tengen],$70.44,$120.84,$357.66
Faria,$70.56,$106.37,$485.17
G.I. Joe: A Real American Hero,$46.03,$137.50,$659.99
Popeye,$14.72,$66.18,$128.32
Bible Adventures,$13.05,$20.48,$63.68
Wheel of Fortune,$4.21,$9.29,$32.53
Vegas Dream,$5.10,$10.77,$46.01
Indiana Jones and the Last Crusade,$32.47,$56.46,$222.35
Dungeon Magic,$8.85,$21.50,$41.50
Ice Climber,$14.74,$49.99,$159.97
Baseball,$3.74,$21.82,$69.24
Palamedes,$13.00,$33.95,$59.99
Silent Service,$3.58,$10.49,$27.16
TaleSpin,$13.16,$46.93,$162.95
Super Glove Ball,$4.67,$13.86,$38.74
Cybernoid The Fighting Machine,$4.56,$13.54,$29.43
Iron Tank,$6.54,$19.47,$53.00
Strider,$7.79,$31.18,$107.85
Dusty Diamond's All-Star Softball,$49.25,$87.00,$250.00
Rainbow Islands,$27.00,$54.10,$193.11
Jaws,$6.51,$28.45,$150.00
Best of the Best Championship Karate,$39.39,$143.78,$435.69
Frankenstein the Monster Returns,$62.53,$85.00,$188.58
Battle of Olympus,$10.55,$29.21,$86.13
Bases Loaded,$4.02,$10.59,$47.45
Anticipation,$3.48,$9.60,$29.95
Dragon Power,$7.00,$28.28,$36.46
Donkey Kong Jr,$25.72,$137.58,$146.14
Dirty Harry,$7.98,$19.22,$48.73
Adventures of Tom Sawyer,$8.99,$19.65,$66.35
World Class Track Meet,$4.56,$30.60,$97.88
Godzilla,$13.23,$39.99,$135.62
Solomon's Key,$12.58,$36.19,$423.49
GI Joe The Atlantis Factor,$29.08,$79.99,$165.51
Ikari Warriors,$7.85,$25.42,$299.99
Baseball Stars,$10.07,$24.99,$185.98
Godzilla 2,$75.00,$171.27,$1079.99
Joe and Mac,$19.99,$46.91,$159.28
Color A Dinosaur,$100.00,$340.76,$749.00
The Punisher,$18.03,$39.84,$154.00
Toxic Crusaders,$50.31,$167.50,$225.00
Milon's Secret Castle,$5.73,$17.58,$61.33
Balloon Fight,$22.02,$84.50,$230.04
Karnov,$8.07,$25.49,$81.57
Dig Dug II: Trouble in Paradise,$9.01,$30.41,$160.04
Young Indiana Jones Chronicles,$51.91,$65.00,$125.00
Chiller,$74.04,$109.72,$210.00
The Magic of Scheherazade,$10.78,$32.56,$79.42
Bandai Golf Challenge Pebble Beach,$3.91,$6.82,$26.62
Renegade,$6.96,$29.87,$132.10
Al Unser Turbo Racing,$4.97,$10.23,$42.00
Adventures of Captain Comic,$9.99,$22.91,$61.95
Ikari Warriors II,$6.26,$20.50,$130.00
Sunday Funday,$132.50,$190.47,$199.99
Dr Jekyll and Mr Hyde,$15.14,$40.00,$66.12
City Connection,$6.96,$20.36,$126.03
Zelda II The Adventure of Link [Gray Cart],$13.92,$34.00,$115.37
Dragon Spirit,$7.00,$21.99,$58.14
Pinball Quest,$9.64,$15.60,$33.37
Bad News Baseball,$9.15,$23.49,$69.97
King's Quest V,$24.64,$39.67,$150.06
Adventures of Lolo 2,$22.48,$39.00,$135.49
The Uncanny X-Men,$7.58,$36.00,$127.00
Rush'n Attack,$7.22,$19.50,$104.43
Target Renegade,$5.49,$23.13,$48.10
Wild Gunman,$15.31,$50.36,$178.10
Who Framed Roger Rabbit,$8.37,$28.94,$107.50
Lone Ranger,$29.05,$50.00,$102.50
Little Ninja Brothers,$52.99,$110.62,$184.94
Pro Sports Hockey,$104.99,$240.82,$800.37
Casino Kid II,$93.50,$152.81,$489.00
Kid Niki Radical Ninja,$8.19,$28.57,$91.50
Gremlins 2,$17.13,$29.99,$32.20
Section Z,$6.99,$25.96,$92.99
M.C. Kids,$16.79,$38.16,$100.38
Big Nose the Caveman,$10.46,$21.21,$59.49
Cobra Triangle,$5.94,$21.99,$85.00
Wurm Journey to the Center of the Earth,$21.58,$56.50,$120.00
Arkista's Ring,$24.65,$71.29,$230.83
Uninvited,$45.57,$89.95,$182.43
Bugs Bunny Birthday Blowout,$6.17,$19.00,$105.96
NES Open Tournament Golf,$8.57,$17.84,$90.00
Sqoon,$74.99,$276.56,$785.00
Super Spike Volleyball and World Cup Soccer,$5.25,$13.62,$43.58
Cabal,$7.82,$27.93,$64.91
Top Gun The Second Mission,$4.06,$10.35,$40.00
Wario's Woods,$17.33,$35.00,$54.85
Bill and Ted's Excellent Video Game,$8.91,$21.99,$57.85
NES Max Controller,$17.44,$23.07,$75.86
Solar Jetman,$4.49,$14.50,$36.00
Dr Chaos,$7.31,$19.06,$60.51
Vindicators,$6.17,$18.00,$33.22
Arkanoid,$12.72,$41.84,$119.99
Cool World,$62.00,$115.33,$369.00
Secret Scout,$186.44,$349.99,$1326.70
Dick Tracy,$7.58,$20.36,$91.73
Monopoly,$5.00,$12.69,$46.00
Ghostbusters,$9.99,$29.99,$79.22
Kickle Cubicle,$19.85,$36.98,$112.42
Mission Impossible,$4.91,$9.95,$32.98
Star Wars The Empire Strikes Back,$24.42,$49.89,$219.50
Control Deck Test Cartridge,$245.60,,
Amagon,$7.98,$25.99,$44.00
Addams Family Pugsley's Scavenger Hunt,$50.00,$144.99,$297.45
Werewolf,$11.17,$32.88,$126.71
Fantastic Adventures of Dizzy,$10.42,$24.14,$50.00
Ninja Crusaders,$26.99,$64.99,$129.49
Silver Surfer,$19.50,$52.00,$199.95
To the Earth,$4.61,$14.24,$40.05
Track and Field,$9.54,$19.46,$62.93
Alfred Chicken,$63.50,$117.22,$339.19
Clu Clu Land,$29.11,$202.88,$770.00
Major League Baseball,$3.83,$9.68,$30.00
Gotcha,$4.47,$14.50,$52.68
Power Punch II,$24.44,$36.96,$107.49
Moon Ranger,$120.00,$202.58,$276.25
Nintendo World Cup,$5.00,$18.88,$45.07
Spiderman Return of the Sinister Six,$11.46,$33.97,$94.03
Advanced Dungeons & Dragons Hillsfar,$68.67,$119.99,$382.28
Trojan,$5.73,$37.99,$78.95
Gilligan's Island,$14.10,$33.50,$105.00
Snoopy Silly Sports,$8.04,$18.99,$157.99
Ghostbusters II,$8.29,$32.50,$158.61
Swords and Serpents,$5.59,$17.99,$83.00
Super Spike Volleyball,$3.91,$13.00,$40.81
Bible Buffet,$55.92,$71.93,$110.00
Rescue the Embassy Mission,$5.84,$14.97,$46.85
Abadox,$8.06,$27.42,$48.90
Nobunaga's Ambition 2,$109.08,$205.33,$731.42
Kid Kool,$10.90,$31.96,$82.00
Bill Elliott's NASCAR Challenge,$6.20,$12.70,$27.65
Ms. Pac-Man [Tengen],$18.17,$32.58,$35.23
Pin-Bot,$4.62,$13.99,$37.00
Robo Warrior,$5.98,$17.50,$45.27
Knight Rider,$6.28,$19.99,$69.99
Uncharted Waters,$67.75,$105.00,$200.01
Athletic World,$7.40,$19.99,$39.99
Platoon,$5.00,$12.12,$35.61
Jurassic Park,$9.36,$30.82,$150.34
Karate Champ,$4.11,$19.97,$55.30
Super Spy Hunter,$25.00,$65.69,$207.05
Silk Worm,$16.89,$36.35,$107.06
Wizards and Warriors III Kuros Visions of Power,$17.28,$34.96,$120.35
Captain America and the Avengers,$24.00,$46.09,$144.38
Day Dreamin' Davey,$14.19,$38.00,$190.73
Romance of the Three Kingdoms II,$66.40,$116.00,$359.16
California Games,$6.76,$14.99,$66.00
Kiwi Kraze,$26.04,$48.98,$192.29
Quattro Adventure,$8.18,$19.99,$40.00
Bandit Kings of Ancient China,$79.48,$130.82,$389.00
Star Trek 25th Anniversary,$11.45,$23.25,$76.12
Gumshoe,$8.97,$59.99,$695.99
Metroid [Yellow Label],$19.48,$44.98,$157.42
WCW World Championship Wrestling,$9.94,$23.86,$64.95
Rambo,$6.36,$22.00,$60.43
Win Lose or Draw,$4.13,$9.97,$21.07
Tom and Jerry,$9.00,$25.99,$65.00
Freedom Force,$9.99,$24.48,$49.99
Immortal,$8.05,$24.57,$78.81
The Mafat Conspiracy,$7.95,$19.44,$39.02
Advanced Dungeons & Dragons Pool of Radiance,$28.83,$55.00,$118.48
Joust,$8.05,$21.48,$50.01
Bases Loaded 4,$33.99,$51.00,$90.00
Smash TV,$9.75,$24.35,$49.38
Mach Rider,$5.74,$39.97,$1000.00
Toki,$43.10,$65.98,$319.00
Total Recall,$5.23,$20.50,$49.70
Ultima Quest of the Avatar,$13.15,$33.63,$246.19
Stealth,$5.95,$9.80,$50.42
Mendel Palace,$10.56,$20.75,$100.00
Nightshade,$19.95,$39.01,$98.99
Nintendo NES Challenge Set Console,$69.65,$150.00,$694.99
Tag Team Wrestling,$4.85,$17.01,$40.09
Gemfire,$73.15,$136.43,$191.15
NARC,$5.75,$20.51,$50.01
Advanced Dungeons & Dragons Dragon Strike,$36.26,$70.73,$226.34
Bad Street Brawler,$7.99,$24.67,$66.47
Tiny Toon Adventures 2 Trouble in Wackyland,$10.20,$37.48,$125.86
BeetleJuice,$15.99,$50.71,$81.00
Terra Cresta,$24.99,$49.99,$153.76
Airwolf,$4.57,$14.24,$44.00
Bugs Bunny Crazy Castle,$9.15,$22.49,$101.25
Mighty Bomb Jack,$7.36,$33.03,$148.74
Totally Rad,$18.03,$40.00,$139.18
Last Action Hero,$59.00,$97.37,$178.61
Deja Vu,$9.93,$19.99,$52.01
Thunder and Lightning,$12.23,$30.63,$104.73
Gyruss,$8.80,$19.99,$41.26
Super Pitfall,$8.87,$23.86,$76.93
Air Fortress,$6.88,$21.50,$42.00
Isolated Warrior,$25.58,$41.69,$107.95
Hydlide,$5.20,$16.24,$48.00
Nintendo NES Deluxe Set Console,$169.79,$169.79,$1409.26
Conan the Mysteries of Time,$37.47,$75.00,$149.99
Jordan vs Bird One on One,$5.39,$15.44,$50.00
Shingen the Ruler,$8.48,$22.76,$62.35
John Elway's Quarterback,$3.51,$9.99,$21.60
Addams Family,$10.48,$25.37,$89.94
Pac-Man (Namco),$12.42,$31.95,$74.00
Rolling Thunder,$7.99,$16.49,$51.45
Defender of the Crown,$5.65,$16.15,$46.04
Desert Commander,$6.89,$17.50,$37.59
Thundercade,$7.97,$17.28,$73.97
Flying Dragon,$6.53,$19.69,$51.00
Mad Max,$10.00,$29.99,$132.51
Challenge of the Dragon,$87.61,$111.77,$238.37
